"","predator","predator.sp.","Predator.size","Prey","prey.size","Trial.Started","Trial.stopped","eaten","predator.sp.lept","body","tail","predator.names","eaten.numeric","Prey.species"
"80","","leech","14","scirtid A","","29/04/11","01/05/11","1",NA,NA,NA,"Hirudinidae",1,"Scirtes A"
"81","","tabanid","21","Polypedilum 2","","29/04/11","01/05/11","0",NA,NA,NA,"Tabanidae.spA",0,"Polypedilum 2"
"82","","tabanid","24","Polypedilum 2","","29/04/11","01/05/11","1",NA,NA,NA,"Tabanidae.spA",1,"Polypedilum 2"
"83","197","","","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Scirtes A"
"84","198","","","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Scirtes A"
"85","208","","","1 Scirtes A","","28/04/11","30/04/11","1",NA,NA,NA,"Leptagrion.andromache",1,"Scirtes A"
"86","211","leptagrion elongatum","","ostracod","","29/04/11","01/05/11","0",NA,NA,NA,"Leptagrion.elongatum",0,"Ostracod"
"87","215","leptagrion elongatum","","ostracod","","29/04/11","01/05/11","0",NA,NA,NA,"Leptagrion.elongatum",0,"Ostracod"
"88","217","leptagrion elongatum","","ostracod","","29/04/11","01/05/11","1",NA,NA,NA,"Leptagrion.elongatum",1,"Ostracod"
"89","38","leptagrion elongatum","","ostracod","","29/04/11","01/05/11","0",NA,NA,NA,"Leptagrion.elongatum",0,"Ostracod"
"90","70","leptagrion elongatum","","ostracod","","29/04/11","01/05/11","0",NA,NA,NA,"Leptagrion.elongatum",0,"Ostracod"
"91","L129","","","1 Culex","","30/03/11","03/04/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Culex"
"92","L129","","","1 Trichoptera","","23/03/11","25/03/11","0","elongatum",7,3,"Leptagrion.elongatum",0,"Phylloicus bromeliarum"
"93","L129","","","1 Monopelopia","","25/03/11","27/03/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Monopelopia"
"94","L129","","(s)","1 Tipulid ","large","21/03/11","23/03/11","0","elongatum",7,3,"Leptagrion.elongatum",0,"Tipulid"
"95","L129","","","1 Polypedilum 1","","28/03/11","30/03/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Polypedilum 1"
"96","L150","","(s)","1 Scirtes A","small","21/03/11","23/03/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Scirtes A"
"97","L150","","","5 Ostracoda","","23/03/11","25/03/11","0","elongatum",7,3,"Leptagrion.elongatum",0,"Ostracod"
"98","L150","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","elongatum",7,3,"Leptagrion.elongatum",1,"Chironomus detriticula"
