"","predator","predator.sp.","Predator.size","Prey","prey.size","Trial.Started","Trial.stopped","eaten","predator.sp.lept","body","tail","predator.names","eaten.numeric","Prey.species"
"236","LP","","","1 Scirtes B","","28/03/11","30/03/11","1","tan",6,2,"Leptagrion.tan",1,"Scirtes B"
"237","LP","","","1 Trichoptera","","23/03/11","25/03/11","0","tan",6,2,"Leptagrion.tan",0,"Phylloicus bromeliarum"
"238","LP","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","tan",6,2,"Leptagrion.tan",1,"Chironomus detriticula"
"239","LP","","","1 Monopelopia","","25/03/11","27/03/11","1","tan",6,2,"Leptagrion.tan",1,"Monopelopia"
"240","LP","","","1 Scirtes A","small","21/03/11","23/03/11","0","tan",6,2,"Leptagrion.tan",0,"Scirtes A"
"241","TO","tabanid","","1 Chironomus detriticula","","29/04/11","01/05/11","1",NA,NA,NA,"Tabanidae.spA",1,"Chironomus detriticula"
"242","TP","tabanid","","1 Chironomus detriticula","","29/04/11","01/05/11","1",NA,NA,NA,"Tabanidae.spA",1,"Chironomus detriticula"
"243","TQ","tabanid","","1 Chironomus detriticula","","29/04/11","01/05/11","1",NA,NA,NA,"Tabanidae.spA",1,"Chironomus detriticula"
"244","TR","tabanid","","1 Chironomus detriticula","","29/04/11","01/05/11","0",NA,NA,NA,"Tabanidae.spA",0,"Chironomus detriticula"
"245","TT","tabanid","","1 Chironomus detriticula","","29/04/11","01/05/11","1",NA,NA,NA,"Tabanidae.spA",1,"Chironomus detriticula"
