"Number","Sp. ","Date","Measuring (body)","Measuring (tail)","Comments","Who used","sp.ID","species","date caught","Length.body (mm)","Length.tail (mm)","number of tails","status","notes"
"L209","andromache",24-Mar,11,4,"ok",,,,,,,,,
"L210",,,,,,,,,,,,,,
"L211",,,,,,,,,,,,,,
"L212",,,,,,,,,,,,,,
"L213",,,,,,,,,,,,,,
"L214",,,,,,,,,,,,,,
"L215",,,,,,,,,,,,,,
"L216",,,,,,,,,,,,,,
"L217",,,,,,,,,,,,,,
"L218",,,,,,,,,,,,,,
"L219",,,,,,,,,,,,,,
"L220",,,,,,,,,,,,,,
"L221",,,,,,,,,,,,,,
"L222",,,,,,,,,,,,,,
"L223",,,,,,,,,,,,,,
"L224",,,,,,,,,,,,,,
"L225",,,,,,,,,,,,,,
"L226",,,,,,,,,,,,,,
"L227",,,,,,,,,,,,,,
"L228",,,,,,,,,,,,,,
"L229",,,,,,,,,,,,,,
"L230",,,,,,,,,,,,,,
"L231",,,,,,,,,,,,,,
"L232",,,,,,,,,,,,,,
"L233",,,,,,,,,,,,,,
"L234",,,,,,,,,,,,,,
"L235",,,,,,,,,,,,,,
"L236",,,,,,,,,,,,,,
"L237",,,,,,,,,,,,,,
"L238",,,,,,,,,,,,,,
"L239",,,,,,,,,,,,,,
"L240",,,,,,,,,,,,,,
"L241",,,,,,,,,,,,,,
"L242",,,,,,,,,,,,,,
"L243",,,,,,,,,,,,,,
"L244",,,,,,,,,,,,,,
"L245",,,,,,,,,,,,,,
"L246",,,,,,,,,,,,,,
"L247",,,,,,,,,,,,,,
"L248",,,,,,,,,,,,,,
"L249",,,,,,,,,,,,,,
"L250",,,,,,,,,,,,,,
"LA","tan","22 feb",10,3,"ok",,,,,,,,,
"LB","tan",20-Mar,8,3,"ok",,,,,,,,,
"LC","tan",,9,4,"ok",,,,,,,,,
"LD","tan","8 feb",7,3,"ok",,,,,,,,,
"LE","tan",10-Mar,9,3.5,"ok",,,,,,,,,
"LF","tan","25 feb",11,4,"ok",,,,,,,,,
"LG","tan",19-Mar,7,3,"ok",,,,,,,,,
"LH","tan",02-Mar,6.5,3,"just one tail",,,,,,,,,
"LI","tan",04-Mar,9.5,3,"ok",,,,,,,,,
"LJ","tan",04-Mar,7,2.5,"one tail less",,,,,,,,,
"LK","tan","25 feb",10,3.5,"ok",,,,,,,,,
"LL","tan",08-Mar,7,3,"ok",,,,,,,,,
"LM","tan",18-Mar,6,2,"one tail less",,,,,,,,,
"LN","tan",03-Mar,11,3,"just one tail",,,,,,,,,
"LO","tan","21 feb",9,3,"ok",,,,,,,,,
"LP","tan",10-Mar,6,2,"ok",,,,,,,,,
