"filter number","empty","full","eu","experiment"
143,1.333,1.567,30,"pred.div"
144,1.3501,1.4792,,
145,1.3535,1.5868,,
146,1.3466,1.7009,35,"pred.div"
147,1.3346,1.462,35,"pred.div"
148,1.3685,1.6246,34,"pred.div"
149,1.3516,1.5283,34,"pred.div"
150,1.3578,1.5543,38,"pred.div"
151,1.4019,1.4743,39,"pred.div"
152,1.3993,1.5003,39,"pred.div"
153,1.3864,1.94,39,"pred.div"
154,1.4301,1.4634,37,"pred.div"
155,1.3919,1.4515,37,"pred.div"
156,1.396,1.7409,37,"pred.div"
157,1.3836,1.5675,38,"pred.div"
158,1.4144,1.6293,40,"pred.div"
159,1.3959,1.6213,,
160,1.398,1.854,"lxl7.1","lxl"
161,1.3937,1.6421,"lxl7.2","lxl"
162,1.3945,1.6389,"lxl7.3","lxl"
163,1.3689,1.6193,"lxl7.4","lxl"
164,1.3968,1.6482,"lxl7.5","lxl"
165,1.3932,1.7657,"lxl7.6","lxl"
166,1.392,1.1318,"lxl7.8","lxl"
167,1.3872,1.5213,"lxl7.7","lxl"
168,1.397,1.7201,"lxl7.9","lxl"
169,1.3811,1.4676,"lxl7.10","lxl"
170,1.3973,1.4753,"lxl7.11","lxl"
171,1.3894,1.4586,"lxl7.12","lxl"
172,1.4073,1.5101,"lxl7.13","lxl"
173,1.399,1.5414,"lxl7.14","lxl"
174,1.4203,1.4582,"lxl7.15","lxl"
175,1.3993,1.4459,"lxl7.16","lxl"
176,1.3956,1.4259,"lxl7.17","lxl"
177,1.3886,1.647,"lxl7.top","lxl"
