"species_pair","overlap","nspp","phylopred1","phylopred2","phylodistance","L_or_R"
"Empididae.sp1_Tabanidae.spA",0.550608008782185,25,"Empididae.sp1","Tabanidae.spA",432,"pairs_RH"
"Empididae.sp1_Tabanidae.spB",0.300608532023929,25,"Empididae.sp1","Tabanidae.spB",432,"pairs_RH"
"Empididae.sp1_Tabanidae.spC",0,25,"Empididae.sp1","Tabanidae.spC",432,"pairs_RH"
"Empididae.sp2_Hirudinidae",0.278460664938085,25,"Empididae.sp2","Hirudinidae",1122,"pairs_RH"
"Empididae.sp2_Leptagrion.andromache",0.0825706697292215,25,"Leptagrion.andromache","Empididae.sp2",761.5,"pairs_LH"
"Empididae.sp2_Leptagrion.elongatum",0,25,"Leptagrion.elongatum","Empididae.sp2",761.5,"pairs_LH"
"Empididae.sp2_Leptagrion.tan",0,25,"Leptagrion.tan","Empididae.sp2",761.5,"pairs_LH"
"Empididae.sp2_Monopelopia",0.0922626616084043,25,"Monopelopia","Empididae.sp2",530.4,"pairs_LH"
"Empididae.sp2_Tabanidae.spA",0,25,"Empididae.sp2","Tabanidae.spA",432,"pairs_RH"
"Empididae.sp2_Tabanidae.spB",0,25,"Empididae.sp2","Tabanidae.spB",432,"pairs_RH"
"Empididae.sp2_Tabanidae.spC",0,25,"Empididae.sp2","Tabanidae.spC",432,"pairs_RH"
"Hirudinidae_Leptagrion.andromache",0.114640639139482,25,"Leptagrion.andromache","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Leptagrion.elongatum",0.0783358826025839,25,"Leptagrion.elongatum","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Leptagrion.tan",0.161511815796541,25,"Leptagrion.tan","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Monopelopia",0.206213520686226,25,"Monopelopia","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Tabanidae.spA",0.105098129006629,25,"Tabanidae.spA","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Tabanidae.spB",0.0301057735247379,25,"Tabanidae.spB","Hirudinidae",1122,"pairs_LH"
"Hirudinidae_Tabanidae.spC",0,25,"Tabanidae.spC","Hirudinidae",1122,"pairs_LH"
"Leptagrion.andromache_Leptagrion.elongatum",0.341222518266066,25,"Leptagrion.andromache","Leptagrion.elongatum",30,"pairs_RH"
"Leptagrion.andromache_Leptagrion.tan",0.412838291213706,25,"Leptagrion.andromache","Leptagrion.tan",30,"pairs_RH"
"Leptagrion.andromache_Monopelopia",0.510656700295829,25,"Leptagrion.andromache","Monopelopia",761.5,"pairs_RH"
"Leptagrion.andromache_Tabanidae.spA",0.246338203959927,25,"Leptagrion.andromache","Tabanidae.spA",761.5,"pairs_RH"
"Leptagrion.andromache_Tabanidae.spB",0.470607872574855,25,"Leptagrion.andromache","Tabanidae.spB",761.5,"pairs_RH"
"Leptagrion.andromache_Tabanidae.spC",0.483783187763262,25,"Leptagrion.andromache","Tabanidae.spC",761.5,"pairs_RH"
"Leptagrion.elongatum_Leptagrion.tan",0.391497875758694,25,"Leptagrion.tan","Leptagrion.elongatum",30,"pairs_LH"
"Leptagrion.elongatum_Monopelopia",0.589379272316023,25,"Leptagrion.elongatum","Monopelopia",761.5,"pairs_RH"
"Leptagrion.elongatum_Tabanidae.spA",0.297773574392805,25,"Leptagrion.elongatum","Tabanidae.spA",761.5,"pairs_RH"
"Leptagrion.elongatum_Tabanidae.spB",0.230734985748213,25,"Leptagrion.elongatum","Tabanidae.spB",761.5,"pairs_RH"
"Leptagrion.elongatum_Tabanidae.spC",0.070076043087156,25,"Leptagrion.elongatum","Tabanidae.spC",761.5,"pairs_RH"
"Leptagrion.tan_Monopelopia",0.310237409596603,25,"Leptagrion.tan","Monopelopia",761.5,"pairs_RH"
"Leptagrion.tan_Tabanidae.spA",0.264146971273104,25,"Leptagrion.tan","Tabanidae.spA",761.5,"pairs_RH"
"Leptagrion.tan_Tabanidae.spB",0.331735469409178,25,"Leptagrion.tan","Tabanidae.spB",761.5,"pairs_RH"
"Leptagrion.tan_Tabanidae.spC",0.337079020790102,25,"Leptagrion.tan","Tabanidae.spC",761.5,"pairs_RH"
"Monopelopia_Tabanidae.spA",0.860235749518077,25,"Monopelopia","Tabanidae.spA",530.4,"pairs_RH"
"Monopelopia_Tabanidae.spB",0.65178306375276,25,"Monopelopia","Tabanidae.spB",530.4,"pairs_RH"
"Monopelopia_Tabanidae.spC",0.393794494811287,25,"Monopelopia","Tabanidae.spC",530.4,"pairs_RH"
"Tabanidae.spA_Tabanidae.spB",0.667573577144589,25,"Tabanidae.spA","Tabanidae.spB",40,"pairs_RH"
"Tabanidae.spC_Tabanidae.spA",0.354703361118229,25,"Tabanidae.spA","Tabanidae.spC",40,"pairs_LH"
"Tabanidae.spC_Tabanidae.spB",0.916773478250149,25,"Tabanidae.spB","Tabanidae.spC",40,"pairs_LH"
