"phylopred1","phylopred2","phylodistance","L_or_R","species_pair"
"Corethrella","Tabanidae.spB",530.4,"pairs_RH","Corethrella_Tabanidae.spB"
"Dolichopodidae","Tabanidae.spB",432,"pairs_RH","Dolichopodidae_Tabanidae.spB"
"Empididae.sp2","Tabanidae.spB",432,"pairs_RH","Empididae.sp2_Tabanidae.spB"
"Empididae.sp1","Tabanidae.spB",432,"pairs_RH","Empididae.sp1_Tabanidae.spB"
"Tabanidae.spA","Tabanidae.spB",40,"pairs_RH","Tabanidae.spA_Tabanidae.spB"
"Leptagrion.andromache","Tabanidae.spC",761.5,"pairs_RH","Leptagrion.andromache_Tabanidae.spC"
"Leptagrion.tan","Tabanidae.spC",761.5,"pairs_RH","Leptagrion.tan_Tabanidae.spC"
"Leptagrion.elongatum","Tabanidae.spC",761.5,"pairs_RH","Leptagrion.elongatum_Tabanidae.spC"
"Monopelopia","Tabanidae.spC",530.4,"pairs_RH","Monopelopia_Tabanidae.spC"
"Bezzia.sp2","Tabanidae.spC",530.4,"pairs_RH","Bezzia.sp2_Tabanidae.spC"
"Bezzia.sp1","Tabanidae.spC",530.4,"pairs_RH","Bezzia.sp1_Tabanidae.spC"
"Corethrella","Tabanidae.spC",530.4,"pairs_RH","Corethrella_Tabanidae.spC"
"Dolichopodidae","Tabanidae.spC",432,"pairs_RH","Dolichopodidae_Tabanidae.spC"
"Empididae.sp2","Tabanidae.spC",432,"pairs_RH","Empididae.sp2_Tabanidae.spC"
"Empididae.sp1","Tabanidae.spC",432,"pairs_RH","Empididae.sp1_Tabanidae.spC"
"Tabanidae.spA","Tabanidae.spC",40,"pairs_RH","Tabanidae.spA_Tabanidae.spC"
"Tabanidae.spB","Tabanidae.spC",40,"pairs_RH","Tabanidae.spB_Tabanidae.spC"
"Leptagrion.andromache","Hirudinidae",1122,"pairs_RH","Leptagrion.andromache_Hirudinidae"
"Leptagrion.tan","Hirudinidae",1122,"pairs_RH","Leptagrion.tan_Hirudinidae"
"Leptagrion.elongatum","Hirudinidae",1122,"pairs_RH","Leptagrion.elongatum_Hirudinidae"
"Monopelopia","Hirudinidae",1122,"pairs_RH","Monopelopia_Hirudinidae"
"Bezzia.sp2","Hirudinidae",1122,"pairs_RH","Bezzia.sp2_Hirudinidae"
