"Time","Taxon A","Taxon B","Reference","Year"
"196.0","Trichoceroidea (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Trichoceroidea&lvl=0&srchmode=1)","Oestroidea (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Oestroidea&lvl=0&srchmode=1)","Bertone et al. (javascript:" void="" onmouseover="return" overlib="" among="" families="" of="" the="" lower="" diptera="" suborder="" have="" been="" exceptionally="" difficult="" to="" resolve="" multiple="" hypotheses="" based="" oil="" morphology="" proposed="" identify="" earliest="" lineages="" flies="" and="" place="" phylogenetic="" origin="" higher="" ales="" but="" convincing="" support="" is="" limited="" here="" we="" relationships="" major="" groups="" using="" sequence="" data="" from="" four="" nuclear="" markers="" including="" both="" ribosomial="" rdna="" protein-coding="" tpi="" pgd="" genes="" our="" results="" novel="" traditional="" arrangements="" most="" unexpectedly="" small="" highly-specialized="" family="" deuterophlebiidae="" appears="" be="" sister="" all="" remaining="" other="" include="" resolution="" infra-orders="" culivomorpha="" a="" superfamily="" simulioidea="Thaumaleidae" simullidae="" tipulomorpha="" sensu="" lato="" trichoceridae="" bibionomorpha="" find="" for="" psychodomorpha="" tanyderidae="" psychodidae="" ptychopteromorpha="" whereas="" placement="" several="" enigmatic="" axymyiidae="" perissommatidae="" remains="" ambiguous="" according="" genetic="" infra-order="" brachycera="" much="" signal="" was="" found="" in="" gene="" performed="" variably="" at="" different="" levels="" addition="" elucidating="" also="" estimate="" age="" dipteran="" clades="" molecular="" divergence=")","2008"
"280.0","Anopheles (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Anopheles&lvl=0&srchmode=1)","Drosophila (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Drosophila&lvl=0&srchmode=1)","Peterson et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=18192191&dopt=Abstract)","2008"
"419.0","Anopheles gambiae (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Anopheles" gambiae=")","Drosophila melanogaster (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Drosophila" melanogaster=")","Blair et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=15537810&dopt=Abstract)","2005"
"474.0","Anopheles (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Anopheles&lvl=0&srchmode=1)","Drosophila (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Drosophila&lvl=0&srchmode=1)","Blair et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=15762985&dopt=Abstract)","2005"
"184.0","Aedes (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Aedes&lvl=0&srchmode=1)","Drosophila (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Drosophila&lvl=0&srchmode=1)","Aris-Brosou et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12396585&dopt=Abstract)","2002"
"265.2","Anopheles (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Anopheles&lvl=0&srchmode=1)","Ceratitidini (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Ceratitidini&lvl=0&srchmode=1)","Gaunt et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11961108&dopt=Abstract)","2002"
"106.2","Culicini (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Culicini&lvl=0&srchmode=1)","Drosophila (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Drosophila&lvl=0&srchmode=1)","Foley et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9562985&dopt=Abstract)","1998"
