"Time","Taxon A","Taxon B","Reference","Year"
"610.0","Anophelinae (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Anophelinae&lvl=0&srchmode=1)","Capitellidae (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Capitellidae&lvl=0&srchmode=1)","Peterson et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=18192191&dopt=Abstract)","2008"
"561.0","Arthropoda (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Arthropoda&lvl=0&srchmode=1)","Chaetopteridae (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Chaetopteridae&lvl=0&srchmode=1)","Foto et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=15982272&dopt=Abstract)","2005"
"560.0","Arthropoda (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Arthropoda&lvl=0&srchmode=1)","Annelida (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Annelida&lvl=0&srchmode=1)","Peterson et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=15084738&dopt=Abstract)","2004"
"700.0","Crustacea (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Crustacea&lvl=0&srchmode=1)","Annelida (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Annelida&lvl=0&srchmode=1)","Otsuka et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12781743&dopt=Abstract)","2003"
"543.0","Culicidae (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Culicidae&lvl=0&srchmode=1)","Lumbricidae (http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&name=Lumbricidae&lvl=0&srchmode=1)","Aris-Brosou et al. (http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12396585&dopt=Abstract)","2002"
