Taxa	original_name	Biomass.avg.sp	Brom 3	Brom 46	Brom 95	Brom 102	Brom 16	Brom 48	Brom 85	Brom 64	Brom 82	Brom 77	Brom 7	Brom 1	Brom 4	Brom 53	Brom 40	Brom 79	Brom A	Brom B	Brom C	Brom D	Brom E	Brom F	Brom G	Brom H	Brom I	
Leptagrion andromache	Zygopter sp A (striped)	0.0107247116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	# 1.6
Leptagrion andromache	Zygopter sp A (striped)	0.0124856369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.7
Leptagrion andromache	Zygopter sp A (striped)	0.0144098945	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.8
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	5.83051423501568E-05	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.2
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0001020301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.25
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0001611725	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	# 0.3
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0002372321	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.35
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0003315887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.4
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0005802578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.5
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0009166084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.6
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0013491688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.7
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0018857873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.8
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.002533774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.9
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0041909683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.1
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0052128683	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.2
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0063716173	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.3
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0076728943	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.4
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0091221664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.5
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0107247116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.6
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0124856369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.7
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0144098945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.8
Leptagrion macrurum and L. bocainense (mix, Zygoptera sp B, tan)	Zygoptera sp B (tan)	0.0187675188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 2
Leptagrion elongatum (C and D - the same species)	Zygoptera sp D (orange)	5.83051423501568E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	# 0.2
Leptagrion elongatum (C and D - the same species)	Zygoptera sp D (orange)	0.0001020301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# 0.25
Leptagrion elongatum (C and D - the same species)	Zygoptera sp D (orange)	0.0001611725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	# 0.3
Leptagrion elongatum (C and D - the same species)	Zygoptera sp D (orange)	0.0003315887	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	# 0.4
Leptagrion elongatum (C and D - the same species)	Zygoptera sp D (orange)	0.0005802578	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	# 0.5
Leptagrion elongatum (C and D - the same species)	Zygoptera sp D (orange)	0.0007369219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	# 0.55
Leptagrion elongatum (C and D - the same species)	Zygoptera sp D (orange)	0.0009166084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.6
