"bromeliad","leaf.no","leaf.ID","length","width","final.length","final.width",
1,9,"1.9",36.2,4.5,,,
1,10,"1.10","NA","NA",,,
1,11,"1.11",29.7,4.1,31.6,3.7,
1,12,"1.12",32.3,3.4,,,
1,13,"1.13",24.4,4,28.1,3.9,
1,14,"1.14",8.9,3.9,22.3,3.2,
1,15,"1.15",13.9,3.4,19.1,2.8,
1,16,"1.16",7.2,2.1,13.9,3.2,
2,1,"2.1",8.2,3.2,,,
2,2,"2.2",4.4,4.1,,,
2,3,"2.3",13.8,4.1,,,
2,4,"2.4",13.1,3.1,,,
2,5,"2.5",16.1,4.8,,,
2,6,"2.6",22.6,5.2,,,
2,7,"2.7",21.1,4.3,,,
2,8,"2.8",26.1,4.5,,,
2,9,"2.9",3.1,4.6,,,
2,10,"2.10",31.3,4.2,,,
2,11,"2.11",33,2,34.5,2.7,
2,12,"2.12",31.8,3,27.5,2.3,
2,13,"2.13",30.2,3,35,2.1,
2,14,"2.14",25.2,2.6,33.4,3,
2,15,"2.15",8,3.1,35.5,2.2,
2,16,"2.16",10.2,2.1,,,
7,1,"7.1",12.1,2.3,,,
7,2,"7.2",16.3,2.6,,,
7,3,"7.3",8.6,3.9,,,
7,4,"7.4",33.2,4.1,,,
7,5,"7.5",20.3,3.1,,,
7,6,"7.6",8.7,5,,,
7,7,"7.7",40.5,4.3,,,
7,8,"7.8",8.9,5.1,,,
7,10,"7.10",31.2,4.1,33.4,2.8,
7,9,"7.9",35.2,4.7,,,
7,11,"7.11",35.5,4.1,,,
7,12,"7.12",8.6,3.9,31,3.4,
7,13,"7.13",24,3.5,28.5,3.5,
7,14,"7.14",20,4,25.6,3.1,
7,15,"7.15",15.2,3.9,19.5,3.2,
7,16,"7.16",11.4,2.4,,,
9,1,"9.1",53.9,5.4,,,
9,2,"9.2",19.4,5.1,,,
9,3,"9.3",46.2,4.9,,,
9,4,"9.4",43.3,5.5,,,
9,5,"9.5",50.2,5.1,,,
9,6,"9.6",51.4,3.5,34.1,3.6,
9,7,"9.7",46,4.2,,,
9,8,"9.8",46.5,3.5,,,
9,9,"9.9",30.4,3.5,,,
9,10,"9.10",35.4,3.1,37.5,3.6,
9,11,"9.11",25.1,3.9,30.7,3.2,
9,12,"9.12",19.6,3.6,38.2,4.1,
9,13,"9.13",3.7,3.4,22.6,4.1,
9,14,"9.14",7.8,3.1,,,
12,1,"12.1",11.4,3.1,,,
12,2,"12.2",14.5,3.2,,,
12,3,"12.3",8.9,3.1,,,
12,4,"12.4",8.1,5.1,,,
12,5,"12.5",25.9,5.1,,,
12,6,"12.6",28.1,5.1,,,
12,7,"12.7",40,4.8,,,
12,8,"12.8",39.1,5.2,,,
12,9,"12.9",39.8,4.6,,,
12,10,"12.10",36.2,4.5,,,
12,11,"12.11",33.2,5.1,,,
12,12,"12.12",31,4.6,34.2,3.1,
12,13,"12.13",3.9,4.3,,,
12,14,"12.14",24,3.9,29.2,3.8,
12,15,"12.15",21.1,3.5,25.3,2.8,
12,16,"12.16",5.2,3.4,21.1,2.6,
12,17,"12.17",11.4,3.2,15.3,2.6,
10,1,"10.1",15,2.4,,,
10,2,"10.2",16.7,2.6,,,
10,3,"10.3",19.6,2.7,,,
10,4,"10.4",26,3.1,,,
10,5,"10.5",5.9,3.8,,,
10,6,"10.6",29.6,4.2,,,
10,7,"10.7",33.5,5.1,,,
10,8,"10.8",33.2,4.7,,,
10,9,"10.9",35.4,48,,,
10,10,"10.10",30.6,4.2,,,
10,11,"10.11",29.6,5,30.6,3.4,
10,12,"10.12",28.1,4,30.1,3.4,
10,13,"10.13",24.8,3.5,27.5,3.8,
10,14,"10.14",20.6,3.4,25.6,3.2,
10,15,"10.15",15.2,3.4,21.2,4,
10,16,"10.16",10.8,2.4,,,
10,17,"10.17",5.9,2.6,,,
8,1,"8.1",37.1,3.1,,,
8,2,"8.2",40.5,3.6,,,
8,3,"8.3",44.1,4.1,,,
8,4,"8.4",49,4.5,,,
8,5,"8.5",46.5,4.3,,,
8,6,"8.6",40,4.2,30.3,3.5,
8,7,"8.7",45.3,4.2,,,
8,8,"8.8",36,5.1,36,4.1,
8,9,"8.9",29,5,30,4.4,
8,10,"8.10",22.6,3.2,23.8,4.1,
8,11,"8.11",16,4.1,17.9,4.1,
8,12,"8.12",9,4.1,,,
8,13,"8.13",5.5,3.1,,,
6,1,"6.1",13.4,3.2,,,
6,2,"6.2",16.4,4,,,
6,3,"6.3",8.9,3.8,,,
6,4,"6.4",29.5,4.1,,,
6,5,"6.5",40.2,4.1,,,
6,6,"6.6",23.1,3.9,,,
6,7,"6.7",48.1,3.2,,,
6,8,"6.8",18.2,3.5,,,
6,9,"6.9",26.9,4.2,,,
6,10,"6.10",45.2,4.3,,,
6,11,"6.11",29.9,3.8,,,
6,12,"6.12",34.5,4.1,38.6,3.2,
6,13,"6.13",31,3.1,35.2,4.2,
6,14,"6.14",25.8,4.1,30.5,4.3,
6,15,"6.15",19.2,3.5,25.9,3.3,
6,16,"6.16",16.4,3.2,22,3.3,
6,17,"6.17",7.3,2.8,,,
3,1,"3.1",20.2,3.5,,,
3,2,"3.2",25.2,2.9,,,
3,3,"3.3",25.7,3.4,,,
3,4,"3.4",10.6,3.3,,,
3,5,"3.5",18.6,4.1,,,
3,6,"3.6",20.1,3.3,,,
3,7,"3.7",21.4,3.6,,,
3,8,"3.8",25,3.1,,,
3,9,"3.9",23,3.3,,,
3,10,"3.10",30,2.1,,,
3,11,"3.11",32.2,3,34.5,2.1,
3,12,"3.12",22,3.1,24.6,3.1,
3,13,"3.13",27.5,3.6,31.1,3,
3,14,"3.14",16.5,2.8,22,3.3,
17,1,"17.1",8.1,,13.1,,
17,2,"17.2",13.2,,20,,
17,3,"17.3",22.6,,27.6,,
17,4,"17.4",31.6,,36.2,,
17,5,"17.5",34.2,,47.6,,
18,1,"18.1",32,,38,,
18,2,"18.2",18.1,,26.5,,
18,3,"18.3",10.4,,19.1,,
18,4,"18.4",26.7,,30.5,,
18,5,"18.5",35.5,,42.5,,
19,1,"19.1",9.2,,16.1,,
