"predator","predator sp.","Predator size","Prey","prey size","Trial Started","Trial stopped","Eaten or not #1 = eaten","Comments"
"L194",,,"1 Leech",,25/03/11,27/03/11,1,
"L200",,,"1 Leech",,25/03/11,27/03/11,0,
"L4",,,"1 Scirtes B",,28/03/11,30/03/11,0,
"L70",,,"1 Scirtes B",,28/03/11,30/03/11,1,
"L150",,,"1 Scirtes B",,28/03/11,30/03/11,0,
"L190",,,"1 Scirtes B",,28/03/11,30/03/11,0,
"L194",,,"1 Scirtes B",,28/03/11,30/03/11,1,
"L200",,,"1 Scirtes B",,28/03/11,30/03/11,1,
"L4",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"L70",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"L150",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"L190",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"L194",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"L200",,,"1 Chironomus detriticula",,30/03/11,03/04/11,1,
"L204",,,"1 Psychodid ",,28/03/11,30/03/11,1,
"L206",,,"1 Psychodid ",,28/03/11,30/03/11,1,
"L211",,,"1 Psychodid ",,28/03/11,30/03/11,1,
"L212",,,"1 Psychodid ",,28/03/11,30/03/11,1,
"L218",,,"1 Psychodid ",,28/03/11,30/03/11,1,
"L220",,,"1 Psychodid ",,28/03/11,30/03/11,1,
"L204",,,"1 Monopelopia ",,30/03/11,03/04/11,1,
"L206",,,"1 Monopelopia ",,30/03/11,03/04/11,1,
"L211",,,"1 Monopelopia ",,30/03/11,03/04/11,1,
"L212",,,"1 Monopelopia ",,30/03/11,03/04/11,1,
"L218",,,"1 Monopelopia ",,30/03/11,03/04/11,1,
"L220",,,"1 Monopelopia ",,30/03/11,03/04/11,1,
"L207",,,"1 Culex",,28/04/11,30/04/11,1,
"L195",,,"1 Culex",,28/04/11,30/04/11,1,
,"Leptagrion andromache",11,"1 Culex",,28/04/11,30/04/11,1,
,"Leptagrion andromache",14,"1 Culex",,28/04/11,30/04/11,1,
,"Leptagrion andromache",15,"1 Culex",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",17,"Leptagrion andromache <5mm",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",18,"Leptagrion andromache <5mm",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",16,"Leptagrion andromache <5mm",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",17,"Leptagrion andromache <5mm",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",17,"Leptagrion andromache <5mm",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",16,"1 Scirtes A",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",11,"1 Scirtes A",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",11,"1 Scirtes A",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",13,"1 Scirtes A",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",16,"1 Scirtes A",,28/04/11,30/04/11,1,
197,,,"1 Scirtes A",,28/04/11,30/04/11,1,
198,,,"1 Scirtes A",,28/04/11,30/04/11,1,
208,,,"1 Scirtes A",,28/04/11,30/04/11,1,
,"Leptagrion andromache",12,"1 Scirtes A",,28/04/11,30/04/11,1,
,"Leptagrion andromache",10,"1 Scirtes A",,28/04/11,30/04/11,0,
,"Leptagrion elongatum",11,"1 polypedilum 2",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",15,"1 polypedilum 2",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",16,"1 polypedilum 2",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",16,"1 polypedilum 2",,28/04/11,30/04/11,1,
,"Leptagrion elongatum",16,"1 polypedilum 2",,28/04/11,30/04/11,1,
,"Leptagrion andromache",14,"1 psychodid ",,28/04/11,30/04/11,1,
,"Leptagrion andromache",9.5,"1 psychodid ",,28/04/11,30/04/11,0,
,"Leptagrion andromache",11,"1 psychodid ",,28/04/11,30/04/11,1,
,"Leptagrion andromache",8,"1 psychodid ",,28/04/11,30/04/11,1,"# both dead"
,"Leptagrion andromache",13,"1 psychodid ",,28/04/11,30/04/11,1,
,"Leptagrion andromache",11,"1 Tipulid",,28/04/11,30/04/11,1,
,"Leptagrion andromache",11,"1 Tipulid",,28/04/11,30/04/11,1,
,"Leptagrion andromache",11,"1 Tipulid",,28/04/11,30/04/11,1,
